,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,rank
Fwd IAT Mean,0.0005399429886993289,0.00013262402651795618,0.0061203195990879745,0.0011080961680868305,0.005213326939962847,0.0,0.0010045496991963603,0.0,0.0029134222294255646,0.0033220144026576116,0.0014726722143022584,0.002700235986989184,0.0033800769183719914,0.004729191941827848,0.2558714462299135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015843441047096605,0.020046202936287796,0.008969087637340915,1,1,0.178,0.05967836134613864,24
Fwd IAT Max,0.0010028584916070644,8.427646778732133e-06,0.005605592490754542,0.00044236839725979017,0.0031051603598604128,0.0,0.004294719496564225,0.0,0.0019834624200329707,0.0031103333024882665,0.00011506547930410962,9.765844829611565e-05,0.002458346595170562,0.0036396232101322166,0.1866501854140915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014622001284683122,0.01463767758647875,0.006732391111672487,1,1,0.178,0.05811267377817074,25
Flow IAT Max,0.0005889490537031931,0.00017654404536483607,0.00920622414904877,0.0016027609538404846,0.004440085400547397,0.0007699236271013117,0.0018629303985096559,0.0,0.007758542078361275,0.003253467602602774,0.0007993786534825573,0.00021659872291339316,0.0031246545396537836,0.0,0.15945611866501855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001896135130052589,0.012265855281924504,0.006044023190801355,1,1,0.178,0.05763081623356094,26
Flow IAT Mean,0.0009584573700531674,0.0001451449961892181,0.003825918561941622,0.0019057566451142088,0.009084273637894536,0.0006186961217781034,0.0011376284990898974,0.0003268498714300528,0.006763500668311356,0.003583482002866785,0.0016337028049315662,0.0005433076571406321,0.0026855955762361767,0.0,0.15327564894932016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019960758001674747,0.011790434534563089,0.005913819293925721,1,1,0.178,0.057539673505748,27
Init_Win_bytes_backward,0.01496675405851216,0.00022823972400756598,0.0051875818839869515,0.000489648645898119,0.005205895938623038,0.0,0.038125276969499786,0.0,0.0005677238057340103,0.0,0.0,0.0005832170839923372,0.0006820444831720537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008540183050150557,0.0,0.005124109830090334,1,1,0.178,0.05698687688106323,28
Avg Fwd Segment Size,0.0671792212964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026871688518582282,0.0,0.01612301311114937,1,0,0.15,0.05628610917780456,29
URG Flag Count,0.019898890699856835,0.0010405969726791264,0.007833968126831944,0.0012220078648061737,0.0,0.0,0.002010026698391979,0.0,0.0005112283451634063,0.0,0.0,5.001314605466296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008592948337639099,0.0,0.005155769002583459,1,0,0.15,0.04860903830180842,30
Fwd Packet Length Min,0.008796619283892028,0.0009262518756812568,0.004127716066827724,0.14316835587675136,0.015277937754612175,0.0032484635143459157,0.005259864995792109,0.0005644549506609928,0.05496262055512246,0.005225540604180432,0.0,0.0033973681319952177,0.08796956267037603,0.0,0.0,0.0,0.006066804909488314,0.0,0.0,0.0060636390579981245,0.0,0.0,0.0,0.006068055565182502,0.0,0.0,0.019725054563374093,0.0013998845794360724,0.012394986569798884,0,4,0.11199999999999999,0.04227649059885921,31
Flow Duration,0.0021248159776151763,0.0005252419362097729,0.018037628292029203,0.005385833144888006,0.015486741792259543,0.01090433838383271,0.012569027989944779,0.00020999486164434915,0.0027365915276395744,0.002678185002142548,0.00718258658203092,0.002594616995321044,0.003034654547152583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027245233749450437,0.0,0.004917198443800822,0.00020957872114961876,0.0030341505547403407,0,4,0.11199999999999999,0.03572390538831824,32
Fwd IAT Min,0.0035927214894207046,0.00016760387559956022,0.010871787176014237,0.002020246041816914,0.01164334409929494,0.003077929208343108,0.010362335991710133,0.00012800174881136717,0.0021767814219854926,0.017005142013604115,0.00016380373046793328,0.00024151976094747215,0.002608216582683394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044604241783322155,0.0,0.002676254506999329,0,4,0.11199999999999999,0.03547337815489953,33
Flow Bytes/s,0.004713881960175388,0.00045569155803581806,0.023600439382091117,0.0064080838154471865,0.030458070491590106,0.009682205340813627,0.0015085467987931628,0.00024409767866342193,0.11494277516092202,0.004649820703719856,0.00025782313499675614,0.0008028311966678583,0.005273062260648453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011799725160189622,0.0,0.007079835096113773,0,3,0.08399999999999999,0.030155884567279637,34
Total Fwd Packets,0.004447949371338883,0.00030743059192840975,0.022164720358846823,0.0012003817654290053,0.002527814555764964,0.024876518875653463,0.0024959295980032563,0.0,0.003186344932182084,0.0033603092026882474,0.0004546838235410389,7.589329401308161e-05,0.0006421309464976496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004843787645762954,0.0,0.002906272587457772,0,2,0.055999999999999994,0.018834390811220438,35
Active Mean,0.0011987978534852154,0.026232560311264128,0.0,0.0,0.0030608343518684334,0.0,0.0,0.0,0.0,0.0,8.711644493051983e-05,0.00010266564590111786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953677979092296,0.0,0.0011722067874553775,0,1,0.027999999999999997,0.009220544751218763,36
Fwd IAT Std,0.0007850344444058921,0.0,0.010841104175517478,0.00038729041884603597,0.002477606446712442,0.0,0.0012809589989752328,0.0,0.002073847720945862,0.003535886302828709,0.002981550326497623,0.001987767243192993,0.002837661163566072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017341974176164792,0.0,0.0010405184505698874,0,1,0.027999999999999997,0.00912836291539892,37
CWE Flag Count,0.0075010753199531485,3.9754306956250666e-05,0.0035738265578602523,0.000276893922025455,0.0011750717118654294,0.0,0.00160692529871446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003334053717852352,0.0,0.002000432230711411,0,0,0.0,0.0014003025614979874,38
Flow Packets/s,0.0028580901526766966,0.0011236627704982337,0.008730514141347024,0.0010905274685928089,0.007665899082161604,0.004885982871986597,0.0011433724990853023,4.1116531406003996e-05,0.0013415612135497682,0.002855309802284248,0.0016931564014718427,0.0026758259889147914,0.004046416962852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030079033477782165,0.0,0.0018047420086669298,0,0,0.0,0.0012633194060668509,39
Bwd Packet Length Min,0.00604468765544215,0.0,0.0047938935776131375,0.0,0.0,0.0,0.0009180114992655909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027034703160207967,0.0,0.001622082189612478,0,0,0.0,0.0011354575327287345,40
Subflow Fwd Packets,0.006267502363609165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002507000945443666,0.0,0.0015042005672661998,0,0,0.0,0.0010529403970863398,41
Bwd Packets/s,0.0017997599432624577,0.00017748663534008835,0.0025946482420073553,0.0015737169546769518,0.004608527830917568,0.0,0.0024510016980391993,0.0,0.0,0.0,0.00025219003532455747,0.00019276002479393269,0.0004111261457449695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013329768556472141,0.0,0.0007997861133883285,0,0,0.0,0.0005598502793718299,42
Down/Up Ratio,0.002179135779770503,0.0,0.0006549767706040741,0.0016650575520463426,0.0013249979388971283,0.0,0.0028916277976866983,0.0,0.0,0.0,0.0,0.0,0.0011805293016382986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012575137799518284,0.0,0.000754508267971097,0,0,0.0,0.0005281557875797679,43
Flow IAT Std,0.0006779850839236115,0.0002875693524498666,0.004508740772996513,0.0004505854570231389,0.002136146785147265,0.0,0.002187339098250129,0.0,0.003207795832398738,0.002779697802223758,0.00013210187231272783,0.0002056325637784696,0.002229394814246824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177444251110816,0.0,0.0007064665506664896,0,0,0.0,0.0004945265854665427,44
Idle Min,0.0003223996995375183,0.0005262362861836662,0.0017425294282115515,0.0,0.0009972574798055235,0.0,0.003212052997430358,0.0,0.0,0.0,0.0070326905907536685,0.007298479724252129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001169422205146852,0.0,0.0007016533230881112,0,0,0.0,0.0004911573261616778,45
Bwd IAT Mean,0.0004674671206593594,0.00041866172900803625,0.009396458152128659,0.0003845390589252751,0.002445229740874922,0.0,0.001283880198972896,0.0,0.0,0.0,0.0,7.870424379133702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008873605044488,0.0,0.00053241630266928,0,0,0.0,0.000372691411868496,46
Idle Mean,0.0015378426435533493,0.00037676054010815196,0.0,0.0,0.0006389538152033728,0.0,0.00015111428987910858,0.0,0.0,0.0,0.00285364603394063,0.0007571613402705706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008540188583914315,0.0,0.0005124113150348589,0,0,0.0,0.00035868792052440123,47
Bwd IAT Min,0.0007344565049926874,0.00018148439523512716,0.00369137675976339,0.0007830971774468014,0.0012226490204436183,0.0,0.0027056859978354516,0.0,0.0,0.0,9.719033034430028e-05,0.00035108257230450024,0.0015282454726665872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008218231882990638,0.0,0.0004930939129794383,0,0,0.0,0.00034516573908560677,48
Total Backward Packets,0.000843172648549311,0.002783233426926206,0.0012482257202087745,0.0,0.0027942921038108665,0.0,0.00033334985973332016,0.0,0.0,0.0,0.0016782897023369654,0.0001304906497061146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007856631325558368,0.0,0.00047139787953350205,0,0,0.0,0.0003299785156734514,49
Bwd Header Length,0.0010622193094953188,0.00012886081661675925,0.0026242188424861032,0.00031286929098936446,0.002322033718662679,0.0,0.00028447716977241834,0.0,0.000559663465652601,0.0,9.94370942135566e-05,9.85220522279894e-06,0.0004743056104808565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007656736345029844,0.0,0.0004594041807017906,0,0,0.0,0.0003215829264912534,50
Active Min,0.0004158733141040187,0.002865480924766798,0.0,0.0,0.0027135999892620778,0.0,0.0,0.0,0.0,0.0,0.0028482655342537315,0.001517719380273189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006636026170693973,0.0,0.00039816157024163837,0,0,0.0,0.00027871309916914684,51
Idle Max,0.0013801337286513716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.237295695231288e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005546721393081643,0.0,0.00033280328358489857,0,0,0.0,0.00023296229850942898,52
Bwd Packet Length Max,0.0010524188618870058,0.0,0.0,0.0,0.0019541200523278453,0.0,0.0002563652997949078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005314918123609401,0.0,0.00031889508741656403,0,0,0.0,0.0002232265611915948,53
Fwd PSH Flags,0.0010184062309114461,0.0,0.0005568086690147324,0.0,0.0,0.0,0.000981127699215098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048425931077607,0.0,0.00029055558646564196,0,0,0.0,0.00020338891052594935,54
Total Length of Bwd Packets,0.00034764788188278145,0.0,0.005231332584695275,0.0,0.0,0.0,0.0001253048998997561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004068910269828641,0.0,0.00024413461618971846,0,0,0.0,0.00017089423133280292,55
Packet Length Variance,0.0009360688349306888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037442753397227556,0.0,0.00022465652038336533,0,0,0.0,0.00015725956426835573,56
Bwd IAT Std,0.0005864970786747327,0.0005185876363844816,0.0007459557520770238,0.0,0.0010668577923544599,0.0,0.0002829143797736685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036531460949937474,0.0,0.00021918876569962484,0,0,0.0,0.00015343213598973738,57
Bwd IAT Total,0.00021451648425420904,7.192042811172915e-05,0.0014752725238846623,8.846665745216026e-05,0.0023874484304569517,0.0,0.00031880574974495543,0.0,0.0,0.0,0.00011649639822084159,0.00016859720670004075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003171569634302507,0.0,0.00019029417805815042,0,0,0.0,0.0001332059246407053,58
Bwd Packet Length Std,0.00033411342687601146,0.0,0.0013711007221981208,0.0,0.0010070163815650535,0.0,0.0010262872991789703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003038655908975118,0.0,0.00018231935453850707,0,0,0.0,0.00012762354817695494,59
Bwd Packet Length Mean,0.000223187212592006,3.5485829068319554e-05,0.002275728436844044,0.0,0.0008941301612116681,0.0,0.0005632629595493897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027770525437047347,0.0,0.00016662315262228408,0,0,0.0,0.00011663620683559885,60
Avg Bwd Segment Size,0.0006394273410323356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002557709364129343,0.0,0.00015346256184776055,0,0,0.0,0.00010742379329343237,61
Bwd IAT Max,0.0002973107591076863,0.0,0.0012417968201046906,0.0,0.0007703006388852051,0.0,0.0004886695496090645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024396265407302252,0.0,0.00014637759244381351,0,0,0.0,0.00010246431471066946,62
SYN Flag Count,0.00012030721071087789,0.00012891758661526874,0.0020673047334696638,0.00020701930403784405,0.0,0.0,0.0005325931995739256,0.0,0.0007424277074985198,0.0,0.0,0.000166877506835701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024037988618589733,0.0,0.00014422793171153838,0,0,0.0,0.00010095955219807686,63
