group_name,feature,group_size,avg_group_correlation,min_group_correlation,max_group_correlation
Group_25,Protocol,2,0.8504529458842615,0.8504529458842615,0.8504529458842615
Group_25,ACK Flag Count,2,0.8504529458842615,0.8504529458842615,0.8504529458842615
Group_19,Flow Duration,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Flow IAT Mean,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Flow IAT Std,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Flow IAT Max,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Fwd IAT Total,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Fwd IAT Mean,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Fwd IAT Std,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Fwd IAT Max,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_19,Idle Max,9,0.9196178279434791,0.8610619768770045,0.9994297508876178
Group_7,Total Fwd Packets,2,1.0,1.0,1.0
Group_7,Subflow Fwd Packets,2,1.0,1.0,1.0
Group_10,Total Backward Packets,5,0.9219863870688139,0.8389090650362666,1.0
Group_10,Total Length of Bwd Packets,5,0.9219863870688139,0.8389090650362666,1.0
Group_10,Packet Length Variance,5,0.9219863870688139,0.8389090650362666,1.0
Group_10,Subflow Bwd Packets,5,0.9219863870688139,0.8389090650362666,1.0
Group_10,Subflow Bwd Bytes,5,0.9219863870688139,0.8389090650362666,1.0
Group_14,Total Length of Fwd Packets,3,0.9983907222395968,0.9975860833593952,1.0
Group_14,Subflow Fwd Bytes,3,0.9983907222395968,0.9975860833593952,1.0
Group_14,act_data_pkt_fwd,3,0.9983907222395968,0.9975860833593952,1.0
Group_21,Fwd Packet Length Max,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Fwd Packet Length Min,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Fwd Packet Length Mean,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Min Packet Length,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Packet Length Mean,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Average Packet Size,7,0.99160344680151,0.9741384110699214,1.0
Group_21,Avg Fwd Segment Size,7,0.99160344680151,0.9741384110699214,1.0
Group_11,Bwd Packet Length Mean,4,0.9248102639165268,0.897029066414751,1.0000000000000002
Group_11,Bwd Packet Length Std,4,0.9248102639165268,0.897029066414751,1.0000000000000002
Group_11,Packet Length Std,4,0.9248102639165268,0.897029066414751,1.0000000000000002
Group_11,Avg Bwd Segment Size,4,0.9248102639165268,0.897029066414751,1.0000000000000002
Group_15,Flow Packets/s,2,0.982618477799476,0.982618477799476,0.982618477799476
Group_15,Fwd Packets/s,2,0.982618477799476,0.982618477799476,0.982618477799476
Group_3,Flow IAT Min,2,0.9996243723297471,0.9996243723297471,0.9996243723297471
Group_3,Fwd IAT Min,2,0.9996243723297471,0.9996243723297471,0.9996243723297471
Group_16,Bwd IAT Mean,3,0.9373205078675162,0.88374506347513,0.986322350499873
Group_16,Bwd IAT Std,3,0.9373205078675162,0.88374506347513,0.986322350499873
Group_16,Bwd IAT Max,3,0.9373205078675162,0.88374506347513,0.986322350499873
Group_28,Fwd PSH Flags,2,1.0,1.0,1.0
Group_28,RST Flag Count,2,1.0,1.0,1.0
Group_4,Fwd Header Length,2,1.0,1.0,1.0
Group_4,Fwd Header Length.1,2,1.0,1.0,1.0
Group_6,Active Mean,2,0.9421769664321804,0.9421769664321804,0.9421769664321804
Group_6,Active Min,2,0.9421769664321804,0.9421769664321804,0.9421769664321804
Group_18,Idle Mean,2,0.9660984381051774,0.9660984381051774,0.9660984381051774
Group_18,Idle Min,2,0.9660984381051774,0.9660984381051774,0.9660984381051774
